nai
                   1              2              3              4              5 
1        -5.70517153    -3.53354525    -1.51814530     1.22341820     0.00000000 
2        -3.53354525    -4.20201085    -2.57087833     1.06886063     0.00000000 
3        -1.51814530    -2.57087833    -2.53683961     0.47649483     0.00000000 
4         1.22341820     1.06886063     0.47649483    -5.80433324     0.00000000 
5         0.00000000     0.00000000     0.00000000     0.00000000    -4.90213081 
6        -0.43224140    -0.37474282    -0.16637324     0.33828019     0.00000000 
7         0.67586422     1.26080970     0.83946437    -2.63239285     0.00000000 
8         0.00000000     0.00000000     0.00000000     0.00000000    -2.08677622 
9        -0.23334431    -0.40776088    -0.26088262     0.20212148     0.00000000 
10       -0.65168204    -1.62488596    -1.21898250     0.85725996     0.36445721 
11       -1.62488554    -2.73547943    -2.18443676     1.29789702     0.40527977 
12       -1.21898214    -2.18443656    -2.30474155     0.55233559     0.08456787 
13       -0.74425924    -0.99993134    -0.34940580     1.07216717     0.59980667 
14       -0.56018024    -0.92137218    -0.43605295     0.93217593     0.18767636 
15       -0.08353714    -0.21313695    -0.14251111     0.12429387     0.03284840 
16       -2.20074102    -2.28507349    -0.90506920     1.13933711     0.68782845 
17       -1.49579146    -1.86840291    -0.95990043     1.35936041    -0.33726433 
18       -0.13751087    -0.31099632    -0.23619042     0.16397564     0.02124491 
19       -0.65168204    -1.62488596    -1.21898250     0.85725996    -0.36445721 
20       -1.62488554    -2.73547943    -2.18443676     1.29789702    -0.40527977 
21       -1.21898214    -2.18443656    -2.30474155     0.55233559    -0.08456787 
22       -0.74425924    -0.99993134    -0.34940580     1.07216717    -0.59980667 
23        0.56018024     0.92137218     0.43605295    -0.93217593     0.18767636 
24       -0.08353714    -0.21313695    -0.14251111     0.12429387    -0.03284840 
25       -2.20074102    -2.28507349    -0.90506920     1.13933711    -0.68782845 
26        1.49579146     1.86840291     0.95990043    -1.35936041    -0.33726433 
27       -0.13751087    -0.31099632    -0.23619042     0.16397564    -0.02124491 
28       -1.37400132    -1.97630965    -0.96337344     2.61687150     0.00000000 
29       -2.07397788    -2.48755973    -1.34359039     2.61411261     0.00000000 
30       -3.15834022    -4.10808155    -2.47530744     2.78065395     0.00000000 
31       -2.11825065    -3.35542638    -2.77017113     1.06305594     0.00000000 
32       -2.34037972    -0.94014911    -0.12876861     2.87818799     0.00000000 
33        0.00000000     0.00000000     0.00000000     0.00000000    -1.57390024 
34        0.94916117     0.44552740     0.09875289    -1.78144170     0.00000000 
35       -3.01473396    -1.78064376    -0.35022033     0.74970862     0.00000000 
36        0.00000000     0.00000000     0.00000000     0.00000000    -1.84075320 
37        1.21495192     0.81939134     0.23665594    -1.03770493     0.00000000 
38       -1.27119569    -1.35201543    -0.55037793    -0.19387528     0.00000000 
39        0.00000000     0.00000000     0.00000000     0.00000000    -0.71916284 
40        0.51028709     0.59026299     0.28852052    -0.21138439     0.00000000 
41        0.00000000     0.00000000     0.00000000     0.00000000    -2.15295306 
42        0.00000000     0.00000000     0.00000000     0.00000000     0.86223100 
43        0.66275199     0.22247858     0.05530253     0.65980419     0.00000000 
44        1.32752331     0.40330004     0.03584030    -0.31513145     0.00000000 
45       -1.66084755    -0.46758286    -0.03425774    -0.68899546     0.00000000 
46        0.00000000     0.00000000     0.00000000     0.00000000    -2.28436155 
47        0.00000000     0.00000000     0.00000000     0.00000000     0.92163027 
48        0.63711256     0.12719384     0.03871069     0.12909840     0.00000000 
49        1.27609175     0.19266363     0.01300281    -1.47853004     0.00000000 
50       -1.58917216    -0.21532613    -0.01161691     0.70242425     0.00000000 
                   6              7              8              9             10 
1        -0.43224140     0.67586422     0.00000000    -0.23334431    -0.65168204 
2        -0.37474282     1.26080970     0.00000000    -0.40776088    -1.62488596 
3        -0.16637324     0.83946437     0.00000000    -0.26088262    -1.21898250 
4         0.33828019    -2.63239285     0.00000000     0.20212148     0.85725996 
5         0.00000000     0.00000000    -2.08677622     0.00000000     0.36445721 
6        -5.01613754     0.20212148     0.00000000    -2.15161835    -0.08353709 
7         0.20212148    -4.17373294     0.00000000     0.28595063     2.39576492 
8         0.00000000     0.00000000    -3.32683315     0.00000000     1.15800185 
9        -2.15161835     0.28595063     0.00000000    -3.38107302    -0.13751096 
10       -0.08353709     2.39576492     1.15800185    -0.13751096    -5.70517360 
11       -0.21313671     2.76062179     1.04473012    -0.31099631    -3.53354643 
12       -0.14251094     1.28383303     0.30386274    -0.23619035    -1.51814577 
13       -0.09059445     0.91834533     0.81541839    -0.10038651    -0.61170939 
14       -0.09121741     1.48695105    -0.11627228    -0.13138473    -1.05951226 
15       -0.23587809     0.31690646     0.10953943    -0.81280454    -0.43224209 
16       -0.25331686     0.59678072     1.01969105    -0.24437489    -0.33793213 
17       -0.21967899     2.07929010    -1.19241724    -0.27504708    -0.58531590 
18       -0.81280428     0.36038537     0.07411135    -1.96315472    -0.23334458 
19       -0.08353709     2.39576492    -1.15800185    -0.13751096    -0.65168260 
20       -0.21313671     2.76062179    -1.04473012    -0.31099631    -1.62488644 
21       -0.14251094     1.28383303    -0.30386274    -0.23619035    -1.21898260 
22       -0.09059445     0.91834533    -0.81541839    -0.10038651    -0.11300081 
23        0.09121741    -1.48695105    -0.11627228     0.13138473     0.92463837 
24       -0.23587809     0.31690646    -0.10953943    -0.81280454    -0.08353724 
