                 1            2            3            4            5            6 
1       -0.6206072   -0.4779164   -0.2102119    0.2450892   -0.0000000   -0.0902291 
2       -0.4779164   -0.4922633   -0.2645282    0.2262375   -0.0000000   -0.0839998 
3       -0.2102119   -0.2645282   -0.1655106    0.1069059   -0.0000000   -0.0396561 
4        0.2450892    0.2262375    0.1069059   -0.2589073   -0.0000000    0.0413850 
5       -0.0000000   -0.0000000   -0.0000000   -0.0000000   -0.1389134   -0.0000000 
6       -0.0902291   -0.0839998   -0.0396561    0.0413850   -0.0000000   -0.1703464 
7       -0.0560564   -0.1885641   -0.1602982    0.0687952    0.0482338    0.0060323 
8       -0.1885640   -0.3256450   -0.2339887    0.1415587    0.0379066   -0.0278559 
9       -0.1602981   -0.2339887   -0.1596236    0.0940007    0.0076155   -0.0298904 
10      -0.0761693   -0.1036075   -0.0535956    0.0581881    0.0301608   -0.0070526 
11      -0.0354615   -0.1036402   -0.0775993    0.0456239    0.0144337    0.0047340 
12       0.0060324   -0.0278560   -0.0298904   -0.0005735    0.0084748   -0.0188004 
13      -0.0560564   -0.1885641   -0.1602982    0.0687952   -0.0482338    0.0060323 
14      -0.1885640   -0.3256450   -0.2339887    0.1415587   -0.0379066   -0.0278559 
15      -0.1602981   -0.2339887   -0.1596236    0.0940007   -0.0076155   -0.0298904 
16      -0.0761693   -0.1036075   -0.0535956    0.0581881   -0.0301608   -0.0070526 
17       0.0354615    0.1036402    0.0775993   -0.0456239    0.0144337   -0.0047340 
18       0.0060324   -0.0278560   -0.0298904   -0.0005735   -0.0084748   -0.0188004 
19      -0.1158460   -0.2530223   -0.1316635    0.1595372    0.0000000   -0.0615299 
20      -0.3734169   -0.5508302   -0.3455266    0.2943302   -0.0000000   -0.1242794 
21      -0.3972962   -0.2279852   -0.0396080    0.2248451   -0.0000000   -0.1361791 
22      -0.0000000   -0.0000000   -0.0000000   -0.0000000   -0.1255959   -0.0000000 
23       0.1512332    0.0998931    0.0295278   -0.1424685   -0.0000000   -0.1015750 
24      -0.3975726   -0.5647381   -0.3633624    0.2624755   -0.0000000   -0.1058012 
25      -0.3832856   -0.2248604   -0.0410776    0.1397292   -0.0000000   -0.0965834 
26      -0.0000000   -0.0000000   -0.0000000   -0.0000000   -0.1126022   -0.0000000 
27       0.1483615    0.1118293    0.0428000   -0.1047305   -0.0000000   -0.0963836 
28      -0.2634736   -0.3686554   -0.2433832    0.1520844   -0.0000000   -0.0589929 
29      -0.1791971   -0.1091465   -0.0208191    0.0511074   -0.0000000   -0.0385698 
30      -0.0000000    0.0000000    0.0000000   -0.0000000   -0.0508310   -0.0000000 
31       0.0695513    0.0541983    0.0214511   -0.0429700   -0.0000000   -0.0479087 
32      -0.4082382   -0.4588286   -0.2743508    0.2400956   -0.0000000   -0.1387214 
33      -0.0000000   -0.0000000   -0.0000000    0.0000000   -0.0690592   -0.0000000 
34       0.1347436    0.0535783    0.0079208   -0.0845504   -0.0000000   -0.0395807 
35      -0.2164938   -0.3846968   -0.2636292    0.1676328   -0.0000000   -0.0673779 
36       0.0000000   -0.0000000   -0.0000000    0.0000000    0.0443168   -0.0000000 
37      -0.2535106   -0.3880196   -0.2520641    0.1953527   -0.0000000   -0.0412446 
                 7            8            9           10           11           12 
1       -0.0560564   -0.1885640   -0.1602981   -0.0761693   -0.0354615    0.0060324 
2       -0.1885641   -0.3256450   -0.2339887   -0.1036075   -0.1036402   -0.0278560 
3       -0.1602982   -0.2339887   -0.1596236   -0.0535956   -0.0775993   -0.0298904 
4        0.0687952    0.1415587    0.0940007    0.0581881    0.0456239   -0.0005735 
5        0.0482338    0.0379066    0.0076155    0.0301608    0.0144337    0.0084748 
6        0.0060323   -0.0278559   -0.0298904   -0.0070526    0.0047340   -0.0188004 
7       -0.6206076   -0.4779166   -0.2102120   -0.1225447   -0.2122537   -0.0902293 
8       -0.4779166   -0.4922635   -0.2645283   -0.1131188   -0.1959276   -0.0839999 
9       -0.2102120   -0.2645283   -0.1655106   -0.0534530   -0.0925833   -0.0396562 
10      -0.1225447   -0.1131188   -0.0534530   -0.1689121   -0.0519589   -0.0206925 
11      -0.2122537   -0.1959276   -0.0925833   -0.0519589   -0.2289091   -0.0358406 
12      -0.0902293   -0.0839999   -0.0396562   -0.0206925   -0.0358406   -0.1703466 
13      -0.0560564   -0.1885642   -0.1602982    0.0073741   -0.0836954    0.0060324 
14      -0.1885642   -0.3256451   -0.2339887   -0.0379513   -0.1415469   -0.0278560 
15      -0.1602982   -0.2339887   -0.1596236   -0.0404052   -0.0852148   -0.0298904 
16       0.0073741   -0.0379513   -0.0404052   -0.0074435   -0.0077316    0.0076261 
17       0.0836954    0.1415469    0.0852148    0.0077316    0.0800653    0.0037407 
18       0.0060324   -0.0278560   -0.0298904    0.0076261   -0.0037407   -0.0188004 
19      -0.1158463   -0.2530224   -0.1316635   -0.0797688   -0.1381637   -0.0615301 
20      -0.3734174   -0.5508305   -0.3455266   -0.1471652   -0.2548977   -0.1242796 
21       0.1986482    0.1139926    0.0198040   -0.0379858    0.1517455    0.0680896 
22       0.3440689    0.1974410    0.0343015    0.1517455    0.1372349    0.1179348 
23       0.1512335    0.0998932    0.0295278    0.0712343    0.1233816   -0.1015752 
24      -0.3975730   -0.5647383   -0.3633624   -0.1312378   -0.2273107   -0.1058014 
25       0.1916427    0.1124301    0.0205387   -0.0495196    0.1092627    0.0482917 
26       0.3319351    0.1947347    0.0355742    0.1092627    0.0766463    0.0836437 
27       0.1483616    0.1118293    0.0428000    0.0523653    0.0906994   -0.0963837 
28      -0.2634738   -0.3686555   -0.2433833   -0.0760422   -0.1317091   -0.0589929 
29       0.0895985    0.0545732    0.0104095   -0.0253465    0.0441406    0.0192849 
30       0.1551892    0.0945236    0.0180298    0.0441406    0.0256228    0.0334025 
31       0.0695514    0.0541983    0.0214511    0.0214850    0.0372132   -0.0479087 
32      -0.2644301   -0.4032299   -0.2663096   -0.0629707   -0.1781279   -0.0852139 
33      -0.1438084   -0.0555989   -0.0080412    0.0027301   -0.0643308   -0.0535077 
34      -0.0673718   -0.0267892   -0.0039604    0.0121001   -0.0558012    0.0197904 
35      -0.3603025   -0.4402958   -0.2716705   -0.1408935   -0.1749756   -0.1208857 
36      -0.1166915   -0.0464002   -0.0068596   -0.0558012   -0.0523336    0.0342779 
37      -0.2535110   -0.3880198   -0.2520641   -0.0976764   -0.1691806   -0.0412446 
                13           14           15           16           17           18 
1       -0.0560564   -0.1885640   -0.1602981   -0.0761693    0.0354615    0.0060324 
2       -0.1885641   -0.3256450   -0.2339887   -0.1036075    0.1036402   -0.0278560 
3       -0.1602982   -0.2339887   -0.1596236   -0.0535956    0.0775993   -0.0298904 
4        0.0687952    0.1415587    0.0940007    0.0581881   -0.0456239   -0.0005735 
5       -0.0482338   -0.0379066   -0.0076155   -0.0301608    0.0144337   -0.0084748 
6        0.0060323   -0.0278559   -0.0298904   -0.0070526   -0.0047340   -0.0188004 
7       -0.0560564   -0.1885642   -0.1602982    0.0073741    0.0836954    0.0060324 
8       -0.1885642   -0.3256451   -0.2339887   -0.0379513    0.1415469   -0.0278560 
9       -0.1602982   -0.2339887   -0.1596236   -0.0404052    0.0852148   -0.0298904 
