            1           2           3           4           5           6
    1   0.1860349   0.0683231  -0.0078727  -0.0078727  -0.0078727  -0.0160303
    2   0.0683231   0.0270183  -0.0025347  -0.0025347  -0.0025347  -0.0156911
    3  -0.0078727  -0.0025347   0.0005150   0.0003412   0.0003412  -0.0031116
    4  -0.0078727  -0.0025347   0.0003412   0.0005150   0.0003412  -0.0031116
    5  -0.0078727  -0.0025347   0.0003412   0.0003412   0.0005150   0.0028140
    6  -0.0160303  -0.0156911  -0.0031116  -0.0031116   0.0028140   0.1860349
    7  -0.0156911  -0.0079129  -0.0005552  -0.0005552   0.0019085   0.0683231
    8   0.0031116   0.0005552  -0.0002291  -0.0004028  -0.0000894   0.0078727
    9   0.0031116   0.0005552  -0.0004028  -0.0002291  -0.0000894   0.0078727
   10   0.0028140   0.0019085   0.0000894   0.0000894  -0.0000502  -0.0078727
   11  -0.0160303  -0.0156911  -0.0031116   0.0028140  -0.0031116  -0.0160303
   12  -0.0156911  -0.0079129  -0.0005552   0.0019085  -0.0005552  -0.0156911
   13   0.0031116   0.0005552  -0.0002291  -0.0000894  -0.0004028  -0.0028140
   14   0.0028140   0.0019085   0.0000894  -0.0000502   0.0000894  -0.0031116
   15   0.0031116   0.0005552  -0.0004028  -0.0000894  -0.0002291   0.0031116
   16  -0.0160303  -0.0156911   0.0028140  -0.0031116  -0.0031116  -0.0160303
   17  -0.0156911  -0.0079129   0.0019085  -0.0005552  -0.0005552  -0.0156911
   18   0.0028140   0.0019085  -0.0000502   0.0000894   0.0000894  -0.0031116
   19   0.0031116   0.0005552  -0.0000894  -0.0002291  -0.0004028  -0.0028140
   20   0.0031116   0.0005552  -0.0000894  -0.0004028  -0.0002291   0.0031116
   21  -0.0055887   0.0003859   0.0007130   0.0007130   0.0007130  -0.0055887
   22   0.0678080   0.0104515  -0.0055445  -0.0055445  -0.0055445   0.0678080
   23   0.0435326   0.0066957  -0.0035625  -0.0035625  -0.0035625   0.0435326
   24   0.0952629   0.0396082   0.0005490  -0.0050382  -0.0050382  -0.0952629
   25   0.0952629   0.0396082  -0.0050382   0.0005490  -0.0050382  -0.0952629
   26   0.0952629   0.0396082  -0.0050382  -0.0050382   0.0005490   0.0952629
   27   0.0442493   0.0183979   0.0002550  -0.0023402  -0.0023402  -0.0442493
   28   0.0442493   0.0183979  -0.0023402   0.0002550  -0.0023402  -0.0442493
   29   0.0442493   0.0183979  -0.0023402  -0.0023402   0.0002550   0.0442493
   30   0.0060893   0.0025318  -0.0003220  -0.0003220   0.0000351   0.0060893
   31   0.0060893   0.0025318   0.0000351  -0.0003220  -0.0003220  -0.0060893
   32  -0.0000000  -0.0000000   0.0000000   0.0000000   0.0000000  -0.0000000
   33   0.0060893   0.0025318  -0.0003220   0.0000351  -0.0003220  -0.0060893
   34  -0.0000000  -0.0000000   0.0000000   0.0000000   0.0000000  -0.0000000
            7           8           9          10          11          12
    1  -0.0156911   0.0031116   0.0031116   0.0028140  -0.0160303  -0.0156911
    2  -0.0079129   0.0005552   0.0005552   0.0019085  -0.0156911  -0.0079129
    3  -0.0005552  -0.0002291  -0.0004028   0.0000894  -0.0031116  -0.0005552
    4  -0.0005552  -0.0004028  -0.0002291   0.0000894   0.0028140   0.0019085
    5   0.0019085  -0.0000894  -0.0000894  -0.0000502  -0.0031116  -0.0005552
    6   0.0683231   0.0078727   0.0078727  -0.0078727  -0.0160303  -0.0156911
    7   0.0270183   0.0025347   0.0025347  -0.0025347  -0.0156911  -0.0079129
    8   0.0025347   0.0005150   0.0003412  -0.0003412  -0.0028140  -0.0019085
    9   0.0025347   0.0003412   0.0005150  -0.0003412   0.0031116   0.0005552
   10  -0.0025347  -0.0003412  -0.0003412   0.0005150  -0.0031116  -0.0005552
   11  -0.0156911  -0.0028140   0.0031116  -0.0031116   0.1860349   0.0683231
   12  -0.0079129  -0.0019085   0.0005552  -0.0005552   0.0683231   0.0270183
   13  -0.0019085  -0.0000502   0.0000894  -0.0000894   0.0078727   0.0025347
   14  -0.0005552  -0.0000894  -0.0002291   0.0004028  -0.0078727  -0.0025347
   15   0.0005552   0.0000894   0.0004028  -0.0002291   0.0078727   0.0025347
   16  -0.0156911   0.0031116  -0.0028140  -0.0031116  -0.0160303  -0.0156911
   17  -0.0079129   0.0005552  -0.0019085  -0.0005552  -0.0156911  -0.0079129
   18  -0.0005552  -0.0002291  -0.0000894   0.0004028  -0.0031116  -0.0005552
   19  -0.0019085   0.0000894  -0.0000502  -0.0000894   0.0031116   0.0005552
   20   0.0005552   0.0004028   0.0000894  -0.0002291  -0.0028140  -0.0019085
   21   0.0003859  -0.0007130  -0.0007130   0.0007130  -0.0055887   0.0003859
   22   0.0104515   0.0055445   0.0055445  -0.0055445   0.0678080   0.0104515
   23   0.0066957   0.0035625   0.0035625  -0.0035625   0.0435326   0.0066957
   24  -0.0396082   0.0005490  -0.0050382   0.0050382  -0.0952629  -0.0396082
   25  -0.0396082  -0.0050382   0.0005490   0.0050382   0.0952629   0.0396082
   26   0.0396082   0.0050382   0.0050382   0.0005490  -0.0952629  -0.0396082
   27  -0.0183979   0.0002550  -0.0023402   0.0023402  -0.0442493  -0.0183979
   28  -0.0183979  -0.0023402   0.0002550   0.0023402   0.0442493   0.0183979
   29   0.0183979   0.0023402   0.0023402   0.0002550  -0.0442493  -0.0183979
   30   0.0025318   0.0003220   0.0003220   0.0000351  -0.0060893  -0.0025318
   31  -0.0025318   0.0000351  -0.0003220   0.0003220  -0.0060893  -0.0025318
   32  -0.0000000  -0.0000000  -0.0000000   0.0000000  -0.0000000  -0.0000000
   33  -0.0025318  -0.0003220   0.0000351   0.0003220   0.0060893   0.0025318
   34  -0.0000000  -0.0000000  -0.0000000   0.0000000  -0.0000000  -0.0000000
           13          14          15          16          17          18
    1   0.0031116   0.0028140   0.0031116  -0.0160303  -0.0156911   0.0028140
    2   0.0005552   0.0019085   0.0005552  -0.0156911  -0.0079129   0.0019085
    3  -0.0002291   0.0000894  -0.0004028   0.0028140   0.0019085  -0.0000502
