                 1            2            3            4            5            6 
1        0.1057750    0.0823932   -0.0031889   -0.0031889   -0.0031889   -0.0099271 
2        0.0823932    0.0689848   -0.0022140   -0.0022140   -0.0022140   -0.0192640 
3       -0.0031889   -0.0022140    0.0001439    0.0000950    0.0000950   -0.0011418 
4       -0.0031889   -0.0022140    0.0000950    0.0001439    0.0000950   -0.0011418 
5       -0.0031889   -0.0022140    0.0000950    0.0000950    0.0001439    0.0012363 
6       -0.0099271   -0.0192640   -0.0011418   -0.0011418    0.0012363    0.1057750 
7       -0.0192640   -0.0203324   -0.0004153   -0.0004153    0.0016742    0.0823932 
8        0.0011418    0.0004153   -0.0000588   -0.0001077   -0.0000167    0.0031889 
9        0.0011418    0.0004153   -0.0001077   -0.0000588   -0.0000167    0.0031889 
10       0.0012363    0.0016742    0.0000167    0.0000167   -0.0000253   -0.0031889 
11      -0.0099271   -0.0192640   -0.0011418    0.0012363   -0.0011418   -0.0099271 
12      -0.0192640   -0.0203324   -0.0004153    0.0016742   -0.0004153   -0.0192640 
13       0.0011418    0.0004153   -0.0000588   -0.0000167   -0.0001077   -0.0012363 
14       0.0012363    0.0016742    0.0000167   -0.0000253    0.0000167   -0.0011418 
15       0.0011418    0.0004153   -0.0001077   -0.0000167   -0.0000588    0.0011418 
16      -0.0099271   -0.0192640    0.0012363   -0.0011418   -0.0011418   -0.0099271 
17      -0.0192640   -0.0203324    0.0016742   -0.0004153   -0.0004153   -0.0192640 
18       0.0012363    0.0016742   -0.0000253    0.0000167    0.0000167   -0.0011418 
19       0.0011418    0.0004153   -0.0000167   -0.0000588   -0.0001077   -0.0012363 
20       0.0011418    0.0004153   -0.0000167   -0.0001077   -0.0000588    0.0011418 
21      -0.0269083   -0.0062965    0.0016037    0.0016037    0.0016037   -0.0269083 
22       0.0502831    0.0163463   -0.0028000   -0.0028000   -0.0028000    0.0502831 
23       0.0730191    0.0641554    0.0002088   -0.0027928   -0.0027928   -0.0730191 
