                 1            2            3 
1        0.0278330   -0.0564593   -0.2234018 
2       -0.0521205    0.1160944    0.0227765 
3       -0.4115335   -0.0758777    0.3407242 
4        0.4238571   -0.0554571   -0.5536686 
5        0.2487032    0.2734981    0.2029945 
6        0.0821494   -0.2842578   -0.0954750 
7        0.1466414   -0.0446736    0.0614762 
8       -0.2113758   -0.2016223    0.0939851 
9       -0.0927453    0.2715707    0.0956627 
10      -0.0132265    0.0095310   -0.2983110 
11      -0.2706884   -0.2533469    0.2133553 
12      -0.1312321    0.4641050    0.0920110 
13       0.0224558   -0.0099136    0.1057874 
14      -0.5241576   -0.0045741    0.3411826 
15       0.5460513    0.1036041   -0.5179228 
16       0.0997905   -0.3191337    0.0913199 
17      -0.0738445    0.0878222   -0.3033832 
18       0.0115960   -0.1233848   -0.1023784 
19      -0.2805036    0.1301782    0.0089619 
20       0.0748330   -0.0633903    0.2870343 
21       0.1928504    0.2194498   -0.0899055 
22       0.1937174   -0.0738924    0.4365149 
23      -0.0796496   -0.0714511    0.0567608 
24      -0.3930223    0.1461088    0.4082556 
25       0.7465154   -0.0538737   -0.4669597 
26      -0.2047357   -0.0222887   -0.2247343 
27       0.2237417    0.2354765   -0.0054675 
28      -0.0134030    0.0863677   -0.1375100 
29      -0.0352531    0.1619185    0.2589147 
30      -0.1916528   -0.2275609    0.0137880 
31       0.2805255   -0.1241900    0.0137052 
32       0.0344160   -0.2423780   -0.3260650 
33      -0.3765328    0.0020010    0.1999722 
