                 1            2            3            4            5            6 
1        0.5264470   -0.3701046    0.0002723   -0.2443664   -0.0052591    0.0216044 
2       -0.3701046    0.5014452    0.0183864   -0.0088264   -0.2559679   -0.0024134 
3        0.0002723    0.0183864    0.1665942    0.0307945   -0.0229553    0.2899273 
4       -0.2443664   -0.0088264    0.0307945    0.5020293   -0.0019020   -0.0401843 
5       -0.0052591   -0.2559679   -0.0229553   -0.0019020    0.4912266    0.0127485 
6        0.0216044   -0.0024134    0.2899273   -0.0401843    0.0127485    0.4445763 
7        0.0169034   -0.0038174    0.0309913   -0.0779567    0.2221502   -0.0931769 
8       -0.0020460    0.0188354    0.0225200    0.2350884   -0.0195310   -0.0898953 
9       -0.0010242   -0.0123157    0.0023204   -0.0689501   -0.0624454   -0.2668547 
10       0.0006446    0.0011654   -0.0040441   -0.0054197   -0.0097419    0.0247546 
11       0.0004780   -0.0007572   -0.0013110    0.0169504    0.0418597   -0.0138789 
12      -0.0029064   -0.0019512    0.0067204    0.0446918    0.0182487   -0.0165111 
13      -0.1853198    0.1906609    0.1609904    0.0107783   -0.0053608   -0.0289375 
14       0.1971974   -0.1441502    0.1791448   -0.0069278    0.0132457   -0.0297211 
15       0.1516728    0.1666017   -0.2282164   -0.0070737   -0.0009799   -0.0265107 
16       0.0215850   -0.0040646    0.0013960   -0.2785840   -0.0858181   -0.0311152 
17      -0.0088710    0.0230550   -0.0341053   -0.0786421   -0.0113457    0.1154203 
18      -0.0141805    0.0141130   -0.0151774   -0.0258359    0.1071355   -0.2671111 
19       0.0307904   -0.0075646   -0.0475163    0.0574223   -0.0681087    0.1359015 
20      -0.0025029    0.0331670    0.0033337   -0.0765492   -0.2366793   -0.0223002 
21       0.0104030   -0.0147895   -0.0133262    0.1105711   -0.0138278   -0.2108120 
22      -0.0057216   -0.0007423   -0.0067024   -0.0078084    0.0070008   -0.0059963 
23      -0.0023326    0.0012458   -0.0017933   -0.0230922    0.0094606   -0.0016836 
24      -0.0022923    0.0001212   -0.0011492    0.0131492    0.0031618    0.0133045 
25      -0.0036571    0.0028073   -0.0019612    0.0063799   -0.0074138   -0.0092292 
26       0.0032582   -0.0025271    0.0016292    0.0231101    0.0060336    0.0081304 
27      -0.0003663    0.0001425    0.0000963    0.0079120   -0.0071807    0.0136264 
28       0.0007955   -0.0002745    0.0078402    0.0059800    0.0040585    0.0048445 
29      -0.0004702   -0.0026354   -0.0011926    0.0038326    0.0126570    0.0000261 
30       0.0065714   -0.0007953    0.0135339   -0.0328335    0.0104603   -0.0088516 
31      -0.1534785    0.1926985   -0.1735024    0.0103013   -0.0056087    0.0225999 
32       0.1875265   -0.1767301   -0.1647234   -0.0051699    0.0081272    0.0255524 
33      -0.1653515   -0.1582989   -0.2223585   -0.0011809    0.0006755   -0.0211555 
34       0.0067721    0.0015966   -0.0025617    0.0179756   -0.0327250    0.0022321 
