                 1            2            3            4            5            6 
1       -0.0045139   -0.0104547   -0.0079719    0.0058889   -0.0053429   -0.0010432 
2       -0.0104547   -0.0482452   -0.0573443    0.0141102   -0.0127918   -0.0025287 
3       -0.0079719   -0.0573443   -0.0983964    0.0107129   -0.0097001   -0.0016558 
4        0.0058889    0.0141102    0.0107129   -0.0086606    0.0064773    0.0013796 
5       -0.0053429   -0.0127918   -0.0097001    0.0064773   -0.0074046   -0.0012224 
6       -0.0010432   -0.0025287   -0.0016558    0.0013796   -0.0012224   -0.0010428 
7        0.0128580    0.0679107    0.0849613   -0.0194447    0.0138725    0.0029344 
8       -0.0115524   -0.0615008   -0.0769179    0.0137520   -0.0166107   -0.0025189 
9       -0.0004220   -0.0150225   -0.0222154    0.0005774   -0.0004264   -0.0017828 
10       0.0130563    0.0461564    0.0423299   -0.0179616    0.0169503    0.0031875 
11      -0.0021290   -0.0107436   -0.0104231    0.0022614   -0.0033285   -0.0021740 
12       0.0083111    0.0275439    0.0251372   -0.0115387    0.0105251    0.0014708 
13       0.0024329    0.0120499    0.0116878   -0.0039435    0.0022881    0.0024459 
14      -0.0012807   -0.0044212   -0.0040330    0.0051386    0.0020810   -0.0003936 
15       0.0025099   -0.0009143   -0.0097987   -0.0033924    0.0029323    0.0004466 
16       0.0020653   -0.0274665   -0.0603852   -0.0029065    0.0023139   -0.0000919 
17      -0.0026533   -0.0478179   -0.1023031    0.0034960   -0.0033135   -0.0007304 
18      -0.0010810    0.0004536    0.0053166    0.0012268   -0.0015094   -0.0002927 
19       0.0004368   -0.0003773   -0.0030760   -0.0008146    0.0002457    0.0001846 
20      -0.0039237    0.0022661    0.0163754    0.0053841   -0.0045896   -0.0006532 
21      -0.0022512    0.0104242    0.0334531    0.0017924   -0.0040148   -0.0008391 
22       0.0017148   -0.0032046   -0.0177636   -0.0036134    0.0005519    0.0009540 
23       0.0003519    0.0609372    0.1140722   -0.0000938    0.0008585    0.0011713 
24      -0.0004834   -0.0004745    0.0021054    0.0007746   -0.0003798   -0.0002340 
25      -0.0015330    0.0025690    0.0135667    0.0032188   -0.0004892   -0.0008582 
26       0.0041980   -0.0205662   -0.0456484   -0.0062271    0.0046969   -0.0001865 
27       0.0031463   -0.0063106   -0.0248295   -0.0031779    0.0049090    0.0009307 
28       0.0003671   -0.0003848   -0.0024224   -0.0002959    0.0006476    0.0001262 
29       0.0000191   -0.0005797   -0.0036070    0.0000070    0.0000606   -0.0000022 
30      -0.0007227   -0.0065719   -0.0255801    0.0011981   -0.0005529   -0.0001195 
31      -0.0030360   -0.0246778   -0.0623972    0.0046614   -0.0030002   -0.0004066 
32      -0.0000883   -0.0006559   -0.0017773    0.0000838   -0.0001018   -0.0000548 
33       0.0000501   -0.0005210   -0.0042514   -0.0000398    0.0000810    0.0000083 
34       0.0000114   -0.0008110   -0.0047082    0.0000292    0.0000713   -0.0000076 
35      -0.0014667   -0.0087494   -0.0158843    0.0021552   -0.0013653   -0.0003104 
36      -0.0007550   -0.0077020   -0.0327647    0.0012283   -0.0006592   -0.0000544 
37      -0.0010135   -0.0095324   -0.0382224    0.0016753   -0.0007286   -0.0002474 
38      -0.0003052   -0.0021616   -0.0053759    0.0003481   -0.0003272   -0.0001355 
